Line|Classification
simpson home,  said: simpson home|Neutral
bart simpson said: dad weve been robbed|Negative
simpson home, lisa simpson said: wake up dad wake up there was a burglar and he took my saxophones|Negative
simpson home, homer simpson said: woo hoo|Positive
simpson home, bart simpson said: and our portable tv|Negative
simpson home, homer simpson said:|Neutral
simpson home, marge simpson said: and my necklaces|Negative
simpson home, homer simpson said: eh thats no big loss|Negative
simpson home, marge simpson said: homer that necklace was a priceless bouvier family heirloom|Negative
simpson home, homer simpson said: oh youve probably got a whole drawer full of em|Neutral
simpson home, marge simpson said: well yes i do but theyre all heirlooms too | Neutral
simpson home, bart simpson said: the burglar even took my stamp collection | Negative
simpson home, lisa simpson said: you had a stamp collection | Neutral
simpson home, marge simpson said:  | Neutral
simpson home, nelson muntz said: stamp collection haw haw | Negative
simpson home, lisa simpson said: barts pain is funny but mine isnt that saxophone was my one creative outlet it was the only way i could truly express myself | Negative
simpson home, homer simpson said: shhh quiet lisa | Negative
simpson home, bart simpson said: hey the burglar left his calling card | Neutral
simpson home, marge simpson said: you have just been robbed by the springfield cat burglar cutes | Negative
simpson home, ned flanders said: hidilly ho neighboreenos | Neutral
simpson home, homer simpson said: cant talk robbed go hell|Negative
simpson home, ned flanders said: you folks got robbed too the burglar took my shroud of turin beach towels|Negative
simpson home, bart simpson said: wow its a crime wave|Negative
skinner living room,  said: skinner living room, seymour skinner said: good lord my stormin norman commemorative plates stolen again|Negative
barney apartment,  said: barney apartment, barney gumble said: hey i thought i had more stuff than this|Neutral
simpson home,  said: simpson home, lisa simpson said: we are insured arent we mom|Neutral
simpson home, marge simpson said: homer tell your child what you bought when i sent you to town to get some insurance|Negative
simpson home, homer simpson said: curse you magic beans|Negative
simpson home, marge simpson said: oh stop blaming the beans|Negative
simpson home, homer simpson said: hello police are you sitting down good i wish to report a robbery|Neutral
springfield police station,  said: springfield police station, chief wiggum said: a robbery right thanks for the report|Neutral
springfield police station, chief wiggum said: another one lou 723 evergreen terraces|Neutral
springfield police station, chief wiggum said: well there doesnt seem to be any pattern yet but if i take this one and move it here and move these over here hello it almost looks like an arrow|Neutral
springfield police station, lou said: hey look chief its pointing right at this police station|Negative
springfield police station, chief wiggum said: lets get outta here|Negative
springfield police station, kent brockman said: when cat burglaries start can mass murders be far behind this reporter isnt saying that the burglar is an inhuman monster like the wolfman but he very well could be|Negative
